song_name,song_id
If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ
刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,3OC84eKMxRJ4x0Hcwl9i4i
流著淚說分手,7LMPRmLVC5seyuf5n6gKZi
阿拉斯加海湾,5DCNAwyomUF3LXunq4NSpJ
飞鸟和蝉,3IveWAHTMxZA4KYBPnylq5
"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",0cDwUAF7yQrOLRcFfJpSc2
小半,3QxWTqyIT4O9bokIZlNDpo
光,2tZHRTuqQI2roREgDVtlHA
Stargazing,0Zbbxnx4SGGHoIow4PpISP
LOSER,7wa1cHqTRdjXZuqo4iigj1
Lemon,4rvtqOGyTPZJwWtVTNdZbu
年度之歌,7L0fcNWxZ3kHXEccBv2A2w
鍾無艷,18J1skShnRiRdvLoOaDLTC
我們都被忘了 - 電視劇 : 我愛你愛你愛我 片尾曲,1BmM3pe7P2EvT0gVupd8rJ
化身孤岛的鲸,31VC6KvDluyPchgL5VRWfv
那個男人,50uxDogkjyD5D9J9mtoLSr
陰天,3aYrODYvFONIvLXMc9VwDv
再回首,206uxOQVHqRJh06auGLKJJ
星球墜落 - Falling版,11qaaX5Arj0jy2YFMxOqDQ
Swim,3M0lSi5WW79CXQamgSBIjx
Butter-Fly,3WaY4Jw6VMSiSOM3jK4Fo5
Trampoline,0lsRatBUs9HNIZAmoGABzk
是但求其愛,4IkQXb1IdIziAJmO3FODo7
他不懂,1An5c9OmMcVaJLA9YQHCi1
Be Alright,3EPXxR3ImUwfayaurPi3cm
Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q
HIP -Japanese ver.-,130EFnPhVklMpsIljz32Ts
愛的初體驗,0MMxQds9WTR9OSqrCCY7Mg
女孩 - 《放開那女孩 Free That Girl》 小巨蛋演唱會求愛主題曲,2byW0LT0nuz836hI9p2GBJ
Yummy,41L3O37CECZt3N7ziG2z7l
你的愛,5FnpnHPzB0qL3vVgmTblZs
永不失聯的愛,46fURCnWErjFdNM2yBJ2c8
"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",2gug6MRv4xQFYi9LA3PJCS
Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU
把孤独当做晚餐,1S4cIsv6O2XzPcmcdLQ1G5
水星記,3CDcr9ogSecLIwourcz760
丟了你,1uLVyBNEhtxsPZQpj7XcZW
So Sick,6brl7bwOHmGFkNw3MBqssT
"愛,存在",5ujzXla4Duu88FPpfJM9xB
白月光与朱砂痣,74nVCj4vMVemLIs71vXcnP
Reality (feat. Janieck Devy) - Radio Edit,1Y4JKN8KuhNaAoEWVEMu0j
那女孩對我說,4lD40vyG33AcLiftmxQSC8
drivers license,7lPN2DXiMsVn7XUKtOW1CS
With You,0lnfjcwBcripJPtXuSu7d3
斷點,6gkIN3ToJqgCR2zXDg7yET
是想你的聲音啊,5T4ALT8LugDODLwAvCg3mL
500 Miles,6oMZhY0f1ReI6AJDDYfuSb
All Time Low,1CnPYaKxTVb4LWOtiGOm0m
Make You Mine,5iFwAOB2TFkPJk8sMlxP8g
Sometimes,0w4orPDl9AkzImGz9petEZ
"越難越愛 - (劇集 ""使徒行者"" 片尾曲)",1tAx6KsKCG7q5wFa0CYaPz
致明日的舞,4K4giRULEibP61XuMsJJRd
野孩子,66YUHByAhvckqMtO9EkJ1J
心願便利貼,7bC2uZJZichlPr83rAJlKv
Before You Go,2gMXnyrvIjhVBUZwvLZDMP
Someone You Loved,7qEHsqek33rTcFNT9PFqLf
好像掉進愛情海裡 (獨唱版),5KBFkKqQjzyUtRZsCVBXD6
你就不要想起我,426nUdWHhi01FIBgPRsyMx
無眠,3T92vFz5uqaI1LPmBr6G9l
小情歌,4FhJ7YSRxATHnaRg4nGs6t
我好想你,3aQ7k1TkEdannB2soLjtJC
無與倫比的美麗,2UwbKIkGPgTPdp7CVx1Dok
沿海地帶,4O78zYUVbR33WNhCVJCRwD
最長的電影,6C9w3NKP7yKqGLBP09iEL4
其實都沒有,5sCHTZlgvm8Td83mSV1rPK
天下無雙(live版),7zhJiTh736nCuFjb9skgDM
Ice Cream (with Selena Gomez),2J4P46vCFm1rPkNkp9pZWX
LOVE SCENARIO,6qAzAmPBUpGrk7XADZHR5k
暖心,550aVIEt1dJ9kjpydwqhiz
倍兒爽 - 官方正式版,2vy1C1T1w9H46UtfNdlYsT
