song_id,song_name,artists,artists_id,popularity
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,"[{'artist_name': 'Polo G', 'artist_id': '6AgTAQt8XS6jRWi4sX7w49'}]",,94
3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),"[{'artist_name': 'Lil Nas X', 'artist_id': '7jVv8c5Fj3E9VhNjxT4snq'}]",,94
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,"[{'artist_name': 'Bruno Mars', 'artist_id': '0du5cEVh5yTK9QJze8zA0C'}, {'artist_name': 'Anderson .Paak', 'artist_id': '3jK9MiCrA42lLAdMGUZpwa'}, {'artist_name': 'Silk Sonic', 'artist_id': '6PvvGcCY2XtUcSRld1Wilr'}]",,96
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),"[{'artist_name': 'Justin Bieber', 'artist_id': '1uNFoZAHBGtllmzznpCI3s'}, {'artist_name': 'Daniel Caesar', 'artist_id': '20wkVLutqVOYrc0kxFs7rA'}, {'artist_name': 'Giveon', 'artist_id': '4fxd5Ee7UefO4CUXgwJ7IP'}]",,100
5QO79kh1waicV47BqGRL3g,Save Your Tears,"[{'artist_name': 'The Weeknd', 'artist_id': '1Xyo4u8uXC1ZmMpatF05PJ'}]",,96
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),"[{'artist_name': 'Dua Lipa', 'artist_id': '6M2wZ9GZgrQXHCFfjv46we'}, {'artist_name': 'DaBaby', 'artist_id': '4r63FhuTkUYltbVAg5TQnk'}]",,90
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),"[{'artist_name': 'Doja Cat', 'artist_id': '5cj0lLjcoR7YOSnhnX0Po5'}, {'artist_name': 'SZA', 'artist_id': '7tYKF4w9nC0nq9CsPZTHyP'}]",,92
1XXimziG1uhM0eDNCZCrUl,Up,"[{'artist_name': 'Cardi B', 'artist_id': '4kYSro6naA4h99UJvo89HB'}]",,91
7lPN2DXiMsVn7XUKtOW1CS,drivers license,"[{'artist_name': 'Olivia Rodrigo', 'artist_id': '1McMsnEElThX1knmY4oliG'}]",,97
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,"[{'artist_name': 'Masked Wolf', 'artist_id': '1uU7g3DNSbsu0QjSEqZtEd'}]",,97
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,"[{'artist_name': 'The Weeknd', 'artist_id': '1Xyo4u8uXC1ZmMpatF05PJ'}]",,95
3wCx8pwK7J1LVe13dFXjPm,Beat Box,"[{'artist_name': 'SpotemGottem', 'artist_id': '3Y2MLcrD3ZQXRXmtn4fZQx'}]",,70
