song_id,song_name,artists,artists_id,popularity
4fJlSLYLiu5trFCMZdSQDC,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,"[{'artist_name': 'EggPlantEgg', 'artist_id': '6g641431O1Xkl7HAs2yFEg'}]",,70
1Ytgo9ipdlTsf6wlg6sXf3,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),"[{'artist_name': '告五人', 'artist_id': '6xErgeZYatiaQ36SB5bvi8'}]",,67
3EohByRFmkLh1Upve1UpSC,"寫一條歌,寫你我爾爾","[{'artist_name': 'Ricky Hsiao', 'artist_id': '0E6oEhZZtQvj811iXQFLrB'}, {'artist_name': 'EggPlantEgg', 'artist_id': '6g641431O1Xkl7HAs2yFEg'}]",,58
3LkITiONSVW8eWhruHhiDJ,最美的風景 (feat. 莫宰羊),"[{'artist_name': 'Marz23', 'artist_id': '4XBG26mgvzGqT09eopG4d9'}, {'artist_name': '莫宰羊', 'artist_id': '2yN7qnZbV8krGJEB16nUOe'}]",,55
5VJV7hZSVV81OrQN3VDmfM,我很好騙,"[{'artist_name': 'Power Station', 'artist_id': '6zCAdMK7SVxKyGMnAc26Cy'}]",,55
3OC84eKMxRJ4x0Hcwl9i4i,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,"[{'artist_name': 'Crowd Lu', 'artist_id': '2JBUyLiFvpFPWdZGqIGYLD'}]",,71
3IveWAHTMxZA4KYBPnylq5,飞鸟和蝉,"[{'artist_name': 'Ren Ran', 'artist_id': '6f4srX54JFrLNK4aTJe2Sc'}]",,49
406KPQqXM4AQlT5KSmFcvG,Fall in Love,"[{'artist_name': 'Sophie Chen', 'artist_id': '2DIegoHjgAlIc6HYGGbu4h'}, {'artist_name': 'Vicky Chen', 'artist_id': '01u3qI3xMGFvktXyRSMGRZ'}]",,50
6vcl5gHFcDmGnioPoHBxER,處處遺憾,"[{'artist_name': '颜人中', 'artist_id': '5PNcqs6EtD6gSXgUiiJIUU'}]",,58
0BSgcbVCu2za7urWWfEqxA,FatBoyGang,"[{'artist_name': '大淵 MUTA', 'artist_id': '4pWDJ1CIEJGf6AzU1HIDgM'}]",,53
69zgyr5HVKdInjeKpq1qHa,"想見你想見你想見你(電視劇""想見你""片尾曲)","[{'artist_name': '831', 'artist_id': '3TtgOeQcNkf9WVDA4xPBJM'}]",,69
0ChgspSxFHavJGXexE7nKm,你有我 (電視劇《陪你一起長大》插曲),"[{'artist_name': 'LaLa Hsu', 'artist_id': '3dI4Io8XE33J2o04ZwjR0Y'}]",,48
5cU1O9P0EDA0rPkPDykhIm,怎麼了,"[{'artist_name': 'Eric Chou', 'artist_id': '5fEQLwq1BWWQNR8GzhOIvi'}]",,66
0ynz4VvIZrq0ZWshXiwRxY,超能力,"[{'artist_name': 'G.E.M.', 'artist_id': '7aRC4L63dBn3CiLDuWaLSI'}]",,60
0upiMcFbQHH51etgz4xK0l,四季予你,"[{'artist_name': '程響', 'artist_id': '7nKA1c1Qn6nI0XA8yburf3'}]",,66
00aJoSrsoDIzFznPDkBUFP,溫室狂花,"[{'artist_name': '艾薇', 'artist_id': '0RaC2hXyniYsju0mCSNz90'}]",,47
36gzVLH9Bq0p544PdDu8WS,Trash Talk,"[{'artist_name': 'Dizzy Dizzo', 'artist_id': '5rEuIFwgGGp7t4b3t8ShJw'}, {'artist_name': 'E.SO', 'artist_id': '2qXGNIlmY3JrYkxOWyXZsd'}]",,55
3j5yYj3N0CQSgcHMF91ZlO,天黑請閉眼 feat. 邱鋒澤,"[{'artist_name': 'Nine Chen', 'artist_id': '4MMQmzYiUiuD8VwjrJu3v6'}, {'artist_name': 'Feng Ze', 'artist_id': '6QYehwA9q6UQEMs1Vak0uy'}]",,58
